
--- Uncategorized Transactions (Sorted by Date) ---
Amount:     -12.00, Date: 2025-01-02, Bank: amex        , Description: DINES* WW HOT DOG LONDON
Amount:     -11.62, Date: 2025-02-18, Bank: barclays    , Description: PAYPAL *JAZZYLYM ON 17 FEB BCC
Amount:      11.20, Date: 2025-06-09, Bank: barclays    , Description: GOVIA TRAINS LTD DRTL31647205 BGC
Amount:     -10.49, Date: 2026-03-28, Bank: revolut_usd , Description: Feteer Al Asdkaa >
Amount:     -10.45, Date: 2026-04-18, Bank: amex        , Description: 3CPAYMENT*WELCOME BREAK NEWPORT PAGNELL
Amount:     -10.31, Date: 2025-09-11, Bank: amex        , Description: ZETTLE *DOUBLE SEVEN HO LONDON
Amount:     -10.30, Date: 2024-09-13, Bank: amex        , Description: POST OFFICE ST PETERS ST ALBANS
Amount:     -10.00, Date: 2026-06-24, Bank: monzo       , Description: GOOGLE *CLOUD C5DBSX DUBLIN IRL
Amount:      -9.95, Date: 2024-11-02, Bank: amex        , Description: 3CPAYMENT*WELCOME BREAK NEWPORT PAGNELL
Amount:      -9.73, Date: 2026-03-29, Bank: revolut_usd , Description: Badoo
Amount:      -8.45, Date: 2025-11-12, Bank: amex        , Description: BOOTS THE CHEMIST LONDON
Amount:      -8.30, Date: 2025-09-20, Bank: amex        , Description: VENCHI UK LONDON
Amount:      -8.00, Date: 2026-04-25, Bank: amex        , Description: DOJO*THE GOLDEN LION CA LONDON
Amount:      -8.00, Date: 2025-12-20, Bank: amex        , Description: EL PASTOR CDY LTD - THE LONDON
Amount:      -7.51, Date: 2024-10-23, Bank: revolut_usd , Description: Proto St A Protostalb
Amount:      -6.90, Date: 2024-11-28, Bank: amex        , Description: FABLER LTD London
Amount:      -6.90, Date: 2026-05-06, Bank: amex        , Description: CHINESE BRITISH ENTERP LONDON
Amount:      -6.69, Date: 2024-10-21, Bank: barclays    , Description: PAYPAL *GOOGLE SAY ON 17 OCT BCC
Amount:      -6.10, Date: 2026-04-28, Bank: amex        , Description: CKO*SUNDAY*LONG ARM BRE LONDON
Amount:      -6.10, Date: 2026-04-28, Bank: amex        , Description: CKO*SUNDAY*LONG ARM BRE LONDON
Amount:      -6.09, Date: 2025-05-25, Bank: amex        , Description: Coffee Station Margate Margate
Amount:      -5.64, Date: 2025-05-13, Bank: amex        , Description: POST OFFICE ST PETERS ST ALBANS
Amount:      -5.30, Date: 2025-05-23, Bank: amex        , Description: NEWS & COFFEE London
Amount:      -5.08, Date: 2024-12-14, Bank: revolut_usd , Description: SSP Egypt
Amount:      -5.00, Date: 2024-11-05, Bank: amex        , Description: PROTO ST A* PROTOSTALB ST ALBANS
Amount:      -4.74, Date: 2025-09-27, Bank: amex        , Description: REDEMPTION ROASTERS HAM London
Amount:      -4.70, Date: 2026-04-19, Bank: amex        , Description: BBM Northampton South C Northampton
Amount:      -4.15, Date: 2026-07-25, Bank: amex        , Description: LS COLICCI KENSINGTON LONDON
Amount:      -4.09, Date: 2026-03-23, Bank: revolut_gbp , Description: Orange
Amount:      -4.00, Date: 2025-02-27, Bank: amex        , Description: ZETTLE *WATCHHOUSE LONDON
Amount:      -3.70, Date: 2025-12-20, Bank: amex        , Description: DINES* 2631 COFFEE WW LONDON
Amount:      -3.51, Date: 2024-10-27, Bank: revolut_usd , Description: Cafe At St Albans Museum
Amount:      -2.95, Date: 2025-09-20, Bank: amex        , Description: RHUBARB AT RAH LONDON
